DATAATUAL|CREDOR|TIPO DE COMUNICACAO|NUMERO DO PROCESSO|JUIZO|COMARCA|DATA DE ABERTURA DO PROCESSO|RECUPERANDA/FALIDA/INSOLVENTE|CNPJ|LOGRADOURO|NUMERO|BAIRRO|CIDADE|ESTADO|CEP|NATUREZA|VALOR|CLASSIFICACAO|REGISTRADO|CEP_CREDOR|LOGRADOURO_CREDOR|NUMERO_CREDOR|COMPLEMENTO_CREDOR|BAIRRO_CREDOR|CIDADE_CREDOR|ESTADO_CREDOR|ETIQUETA
04/07/2023|      SIGMA TRANSPORTES E LOGISTICA LTDA|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|AN LOGÍSTICA LTDA|30.999.553/0001-60|Rodovia SC 443|3492|Demboski|Içara                          |SC|88800000|Contratual|R$ 1.600,00|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] AN LOGÍSTICA LTDA - 00021|11045525|RUA JOSE WENCWSLAU VENTURA|210||ALEMOA SANTOS|São Paulo|SP|YA063638973BR
04/07/2023|      SIGMA TRANSPORTES E LOGISTICA LTDA|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|AN LOGÍSTICA LTDA|30.999.553/0001-60|Rodovia SC 443|3492|Demboski|Içara                          |SC|88800000|Contratual|R$ 1.600,00|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] AN LOGÍSTICA LTDA - 00021|11045525|RUA JOSE WENCWSLAU VENTURA|210||ALEMOA SANTOS|São Paulo|SP|YA063638987BR
04/07/2023|              QUANTIQ DISTRIBUIDORA LTDA|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|AN LOGÍSTICA LTDA|30.999.553/0001-60|Rodovia SC 443|3492|Demboski|Içara                          |SC|88800000|Contratual|R$ 19.701,47|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] AN LOGÍSTICA LTDA - 00018|81170200|RUA ANTONIO LACERDA BRAGA|3210||CIDADE INDUSTRIAL|Curitiba|PR|YA063638995BR
04/07/2023|              QUANTIQ DISTRIBUIDORA LTDA|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|AN LOGÍSTICA LTDA|30.999.553/0001-60|Rodovia SC 443|3492|Demboski|Içara                          |SC|88800000|Contratual|R$ 19.701,47|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] AN LOGÍSTICA LTDA - 00018|81170200|RUA ANTONIO LACERDA BRAGA|3210||CIDADE INDUSTRIAL|Curitiba|PR|YA063639007BR
04/07/2023|              POSTOS PELANDA ALIPINO III|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|AN LOGÍSTICA LTDA|30.999.553/0001-60|Rodovia SC 443|3492|Demboski|Içara                          |SC|88800000|Contratual|R$ 988,01|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] AN LOGÍSTICA LTDA - 00014|83370000|BR 116 KM 19,5|S/N||VILA SÃO SEBASTIÃO|ANTONINA|PR|YA063639015BR
04/07/2023|              POSTOS PELANDA ALIPINO III|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|AN LOGÍSTICA LTDA|30.999.553/0001-60|Rodovia SC 443|3492|Demboski|Içara                          |SC|88800000|Contratual|R$ 988,01|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] AN LOGÍSTICA LTDA - 00014|83370000|BR 116 KM 19,5|S/N||VILA SÃO SEBASTIÃO|ANTONINA|PR|YA063639024BR
04/07/2023|                   POSTOS PELANDA ALPINO|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|AN LOGÍSTICA LTDA|30.999.553/0001-60|Rodovia SC 443|3492|Demboski|Içara                          |SC|88800000|Contratual|R$ 7.688,17|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] AN LOGÍSTICA LTDA - 00015|83370000|ROD BR 116 KM19.5|S/N||VILA SÃO SEBASTIÃO|ANTONINA|PR|YA063639038BR
04/07/2023|                   POSTOS PELANDA ALPINO|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|AN LOGÍSTICA LTDA|30.999.553/0001-60|Rodovia SC 443|3492|Demboski|Içara                          |SC|88800000|Contratual|R$ 7.688,17|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] AN LOGÍSTICA LTDA - 00015|83370000|ROD BR 116 KM19.5|S/N||VILA SÃO SEBASTIÃO|ANTONINA|PR|YA063639041BR
04/07/2023|                                PROTANKS|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|AN LOGÍSTICA LTDA|30.999.553/0001-60|Rodovia SC 443|3492|Demboski|Içara                          |SC|88800000|Contratual|R$ 240,00|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] AN LOGÍSTICA LTDA - 00017|83705380|R LUIZ FRANCESCHI|79||CAPELA VELHA|Araucária|PR|YA063639055BR
04/07/2023|                                PROTANKS|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|AN LOGÍSTICA LTDA|30.999.553/0001-60|Rodovia SC 443|3492|Demboski|Içara                          |SC|88800000|Contratual|R$ 240,00|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] AN LOGÍSTICA LTDA - 00017|83705380|R LUIZ FRANCESCHI|79||CAPELA VELHA|Araucária|PR|YA063639069BR
